Time [ms]	ACC_X [mg]	ACC_Y [mg]	ACC_Z [mg]	GYRO_X [dps]	GYRO_Y [dps]	GYRO_Z [dps]	MAG_X [uT]	MAG_Y [uT]	MAG_Z [uT]
8950003.0	-360.351532	-729.492126	-625.0	0.259542	-0.534351	0.824427	41.700001	-43.350002	28.800001
9120872.0	-381.347626	-772.949158	-648.92572	0.435115	-1.137405	1.183206	41.25	-43.350002	30.300001
9294021.0	-372.070282	-642.578064	-567.871094	0.778626	4.900764	-2.175573	40.650002	-42.900002	30.6
9464381.0	-401.855438	-702.148376	-566.40625	-0.625954	-0.320611	2.145038	40.800003	-43.800003	29.400002
9636830.0	-341.796844	-717.773376	-553.710938	1.267176	-0.687023	1.694656	42.600002	-43.050003	29.400002
9807626.0	-380.371063	-805.17572	-661.621033	2.572519	0.89313	-1.221374	40.650002	-42.900002	30.6
9978228.0	-345.214813	-719.23822	-636.71875	0.465649	0.068702	-2.89313	41.550003	-42.75	29.400002
10150514.0	-406.738251	-642.089844	-564.453125	1.29771	0.290076	-0.236641	40.950001	-42.900002	29.1
10321114.0	-402.343719	-710.937439	-580.078125	-0.206107	0.045802	4.61832	40.950001	-43.650002	30.6
10491837.0	-327.148407	-750.48822	-586.425781	0.70229	1.793893	1.381679	41.550003	-42.75	30.150002
10664252.0	-412.597626	-779.785095	-658.203064	-0.656489	1.145038	-1.687023	40.200001	-42.450001	28.500002
10834752.0	-399.902313	-764.160095	-661.621033	0.778626	3.664122	-1.396947	40.950001	-42.450001	29.550001
11005209.0	-406.249969	-706.054626	-562.5	1.198473	1.396947	-2.610687	42.300003	-43.800003	29.400002
11177634.0	-398.925751	-738.76947	-571.289063	1.10687	-2.740458	2.648855	40.350002	-42.75	30.150002
11348211.0	-304.199219	-713.867126	-609.375	0.450382	-1.374046	2.381679	40.200001	-43.350002	29.85
11518618.0	-346.679657	-681.152283	-560.546875	-0.458015	1.816794	-0.175573	42.300003	-44.25	30.150002
11716345.0	-383.300751	-779.296814	-634.765625	1.954198	-1.603053	1.916031	42.0	-42.150002	29.1
11884806.0	-299.804688	-768.554626	-600.097656	1.679389	0.832061	0.900763	41.550003	-42.300003	30.150002
12053905.0	-407.226532	-769.042908	-682.617126	0.183206	3.664122	0.656489	42.0	-42.900002	30.300001
12224720.0	-454.101532	-723.632751	-654.785095	0.091603	-0.152672	1.0	40.950001	-43.650002	28.050001
12393867.0	-369.140594	-687.499939	-526.367188	-0.450382	-0.396947	0.10687	41.25	-42.150002	28.800001
12562978.0	-293.945313	-710.449158	-558.105469	-1.343511	-0.664122	1.740458	41.25	-43.650002	28.800001
12733972.0	-397.949188	-772.949158	-696.289001	2.068702	1.847328	0.335878	41.100002	-43.800003	30.150002
12902932.0	-403.808563	-706.542908	-599.609375	1.770992	-1.931298	0.717557	42.0	-42.150002	29.1
13072083.0	-314.941406	-606.445313	-492.187469	0.526718	0.80916	1.290076	41.700001	-42.900002	29.550001
13243205.0	-366.699188	-713.378845	-622.558594	1.870229	0.541985	2.641221	39.900002	-43.350002	29.85
13413757.0	-333.496063	-760.253845	-640.625	1.053435	-0.763359	1.274809	40.800003	-43.5	30.450001
13584173.0	-383.300751	-718.749939	-618.652344	-2.458015	2.725191	-3.038168	41.100002	-43.5	29.400002
13756589.0	-422.363251	-750.48822	-634.277344	0.412214	-0.610687	0.656489	41.700001	-43.350002	29.1
13927280.0	-346.679657	-637.207031	-515.625	1.557252	-0.519084	2.832061	41.700001	-44.100002	30.300001
14097866.0	-351.074188	-743.164001	-634.277344	0.122137	0.320611	3.938931	41.100002	-43.5	30.450001
14270997.0	-320.800781	-791.015564	-624.023438	1.061069	0.618321	0.679389	40.800003	-43.800003	28.950001
14441807.0	-395.996063	-735.839783	-628.90625	0.007634	1.908397	1.29771	42.300003	-42.0	29.400002
14612852.0	-437.499969	-759.765564	-647.949158	0.267176	0.557252	2.175573	42.600002	-42.0	30.750002
14785620.0	-380.859344	-643.554626	-539.550781	-0.694656	1.770992	-2.015267	42.0	-40.950001	31.050001
14956336.0	-383.300751	-717.285095	-636.71875	1.412214	-1.473282	0.977099	40.350002	-43.050003	29.400002
15127116.0	-330.078094	-784.667908	-638.671875	1.053435	1.862595	-1.167939	39.900002	-42.450001	28.800001
15299987.0	-423.828094	-815.429626	-730.468689	-0.709924	3.648855	0.656489	42.0	-42.900002	29.1
15470945.0	-395.507782	-722.656189	-595.214844	1.977099	-0.458015	0.374046	41.100002	-43.800003	28.950001
15641882.0	-368.164032	-646.484314	-533.691406	-1.007634	0.267176	3.206107	41.25	-44.100002	28.500002
15818027.0	-370.605438	-682.617126	-548.828125	-1.427481	1.374046	2.458015	42.0	-41.700001	29.85
15992645.0	-369.628876	-740.722595	-618.164063	-0.70229	0.755725	2.251908	41.850002	-42.300003	29.400002
16167054.0	-394.042938	-758.789001	-597.65625	1.145038	-0.496183	0.206107	40.800003	-42.75	30.150002
16345532.0	-389.648407	-749.023376	-605.46875	-0.259542	1.679389	-1.221374	41.850002	-43.050003	29.400002
16521759.0	-352.050751	-714.843689	-624.023438	3.648855	0.374046	-1.076336	43.050003	-42.75	28.950001
16698268.0	-304.6875	-704.589783	-559.570313	-0.374046	1.267176	1.152672	41.100002	-42.75	29.700001
16876460.0	-359.863251	-797.36322	-596.679688	0.687023	-1.847328	1.916031	41.25	-42.900002	29.85
17055232.0	-300.78125	-707.51947	-565.917969	0.152672	-2.480916	0.267176	39.150002	-42.900002	29.550001
17234456.0	-379.394501	-718.261658	-624.511719	1.603053	0.687023	0.648855	41.25	-42.450001	27.000002
27262192.0	-381.347626	-657.226501	-550.78125	0.29771	0.610687	3.007634	42.600002	-42.75	29.400002
27444804.0	-470.703094	-739.257751	-669.433533	2.312977	2.70229	0.312977	40.950001	-42.450001	29.550001
27627626.0	-408.691376	-731.445251	-684.08197	-2.763359	3.251908	0.503817	42.75	-42.150002	29.85
27812520.0	-381.835907	-749.023376	-671.386658	-0.045802	1.152672	-1.48855	40.800003	-42.300003	29.400002
27995676.0	-287.109375	-729.003845	-593.75	0.961832	-1.290076	3.961832	41.700001	-42.450001	29.1
28179084.0	-394.042938	-730.95697	-589.355469	1.503817	-0.022901	4.580153	41.550003	-41.550003	30.450001
28364696.0	-415.527313	-726.562439	-588.378906	1.038168	-0.083969	-2.458015	42.0	-43.650002	28.500002
28547758.0	-382.324188	-708.496033	-597.65625	1.725191	1.267176	-0.633588	41.700001	-42.150002	29.85
28732726.0	-374.511688	-710.449158	-610.351563	-0.885496	0.320611	2.526718	40.950001	-42.900002	30.300001
28916100.0	-357.421844	-729.003845	-603.027344	0.48855	-0.465649	-0.519084	42.300003	-43.050003	30.150002
29940702.0	-391.113251	-797.36322	-717.773376	-0.48855	3.503817	-2.70229	41.700001	-42.450001	28.800001
30126026.0	-338.378876	-741.210876	-595.214844	-0.603053	-1.854962	0.641221	41.25	-42.150002	29.85
30309368.0	-368.652313	-691.89447	-547.851563	0.992366	1.572519	0.160305	41.100002	-43.800003	28.650002
30492992.0	-401.855438	-723.632751	-596.191406	2.618321	-0.465649	1.435115	41.25	-42.150002	29.1
30678238.0	-319.335938	-663.574158	-594.726563	2.053435	4.114504	-1.717557	40.650002	-43.350002	29.1
30861696.0	-396.484344	-759.277283	-611.328125	2.183206	-0.625954	-2.29771	41.850002	-43.5	29.400002
31045072.0	-352.539032	-718.261658	-590.332031	-1.160305	1.076336	0.656489	41.850002	-42.300003	29.700001
31231022.0	-412.597626	-719.726501	-576.660156	-3.435115	1.877863	5.938931	42.300003	-43.050003	28.950001
31414488.0	-422.363251	-695.312439	-616.699219	0.198473	1.236641	0.175573	40.950001	-41.400002	29.85
31597972.0	-396.972626	-734.86322	-652.83197	-1.519084	2.389313	0.687023	41.100002	-43.5	29.700001
32639820.0	-296.386719	-738.281189	-561.523438	1.923664	2.816794	0.305344	41.700001	-42.450001	30.6
32822966.0	-367.675751	-688.964783	-562.011719	0.175573	0.694656	2.320611	40.800003	-42.75	28.200001
33006290.0	-389.160126	-719.726501	-547.851563	1.40458	-1.633588	0.259542	42.0	-42.450001	29.1
33191244.0	-365.722626	-620.605469	-546.875	0.19084	1.320611	-1.610687	41.700001	-43.350002	29.1
33374244.0	-375.976532	-687.011658	-624.511719	1.312977	2.557252	-1.244275	43.650002	-42.300003	30.150002
5469126.0	-452.636688	-746.093689	-690.917908	-0.687023	5.022901	-1.51145	42.600002	-41.550003	30.150002
5654506.0	-400.390594	-690.429626	-559.570313	-1.236641	2.610687	-0.679389	43.200001	-40.650002	30.300001
5837724.0	-458.007782	-742.67572	-625.0	0.725191	0.847328	3.633588	42.0	-41.400002	30.300001
6023837.0	-364.746063	-645.01947	-559.570313	0.10687	0.045802	-0.564885	42.0	-42.900002	31.050001
6207199.0	-330.566376	-742.67572	-596.679688	1.435115	-0.175573	0.587786	42.75	-41.700001	29.85
6390411.0	-456.054657	-757.324158	-697.753845	-1.687023	4.946565	-2.671756	42.300003	-42.0	30.450001
6575480.0	-403.320282	-753.417908	-647.949158	1.572519	0.725191	0.007634	42.600002	-40.050003	30.150002
6759015.0	-448.730438	-723.14447	-597.65625	1.603053	-0.145038	1.022901	43.200001	-41.400002	30.300001
6942352.0	-358.398407	-635.742188	-557.128906	-0.374046	2.80916	-1.320611	42.0	-41.700001	29.85
7127524.0	-388.183563	-766.11322	-619.628906	4.076336	1.908397	-2.778626	42.600002	-41.550003	29.700001
7310806.0	-427.246063	-724.121033	-680.664001	-2.328244	2.007634	-0.381679	42.600002	-42.0	30.450001
7494331.0	-366.210907	-645.996033	-487.304657	-0.740458	1.519084	-0.412214	43.200001	-41.700001	29.1
7679399.0	-500.488251	-733.398376	-636.71875	0.59542	-0.40458	2.305344	43.200001	-41.400002	30.300001
7862565.0	-355.957001	-676.757751	-586.914063	0.633588	1.793893	0.091603	42.300003	-41.25	30.150002
8045656.0	-379.882782	-727.539001	-621.09375	2.679389	1.396947	0.641221	43.200001	-42.150002	29.550001
8231463.0	-463.378876	-753.417908	-686.035095	-0.89313	3.732824	-1.198473	42.600002	-42.300003	29.700001
8414719.0	-391.601532	-698.242126	-549.804688	0.152672	1.412214	1.534351	42.0	-42.450001	30.300001
8597866.0	-469.238251	-758.789001	-634.765625	2.015267	0.801527	3.160305	43.350002	-40.350002	30.150002
8782946.0	-346.679657	-641.601563	-563.476563	0.587786	0.541985	4.198473	41.850002	-41.550003	30.150002
8966400.0	-366.210907	-744.628845	-621.582031	1.206107	0.419847	-0.580153	43.050003	-41.25	30.450001
9149634.0	-459.472626	-749.999939	-686.523376	0.282443	2.618321	-1.618321	43.050003	-42.0	31.200001
9334575.0	-409.179657	-723.632751	-579.101563	1.129771	-1.030534	0.045802	42.600002	-42.300003	30.150002
9517707.0	-512.695313	-723.632751	-624.511719	0.0	-2.351145	1.824427	42.450001	-42.150002	29.85
9701131.0	-362.792938	-625.0	-544.921875	0.877863	1.541985	-0.610687	42.450001	-40.950001	30.300001
9886211.0	-369.140594	-756.835876	-622.070313	2.519084	0.030534	-2.236641	43.200001	-42.450001	29.550001
10068933.0	-368.164032	-690.429626	-582.03125	-2.450382	8.083969	-2.725191	41.850002	-41.25	28.950001
10251780.0	-436.523407	-768.066345	-689.941345	-0.442748	3.435115	-1.870229	42.600002	-41.550003	31.950001
10464391.0	-393.554657	-655.273376	-536.621094	-0.480916	0.755725	-0.70229	43.200001	-42.150002	30.300001
10645148.0	-364.257782	-734.374939	-587.890625	3.122137	0.763359	-3.129771	43.050003	-41.25	30.450001
10826818.0	-451.660126	-734.86322	-669.921814	-0.664122	4.007634	-1.137405	43.050003	-42.300003	29.700001
11010308.0	-374.999969	-720.703064	-605.46875	1.374046	-0.053435	-0.129771	43.050003	-41.25	30.750002
11192158.0	-512.695313	-739.257751	-614.746094	0.389313	-0.732824	0.503817	42.600002	-42.75	29.700001
11373897.0	-377.929657	-695.312439	-543.457031	-0.053435	3.938931	-1.137405	42.600002	-42.0	29.400002
11557341.0	-343.749969	-738.76947	-600.585938	1.854962	-0.374046	-1.610687	42.450001	-41.400002	29.550001
11739066.0	-466.796844	-722.656189	-677.734314	-1.114504	-0.618321	0.587786	43.350002	-40.350002	30.150002
11920768.0	-376.464813	-623.535156	-456.542938	3.083969	-0.618321	-0.557252	44.100002	-41.550003	30.150002
12104234.0	-487.792938	-706.054626	-579.101563	3.022901	-1.206107	2.526718	43.650002	-42.300003	31.200001
12287198.0	-381.347626	-705.078064	-597.167969	0.21374	0.221374	2.083969	43.200001	-40.650002	29.85
12470165.0	-431.152313	-749.511658	-645.996033	0.801527	0.572519	1.053435	42.300003	-41.25	28.650002
12655278.0	-476.074188	-689.453064	-703.61322	1.51145	-1.374046	2.419847	42.600002	-41.25	31.200001
12838293.0	-327.636688	-640.136719	-440.429657	0.977099	0.908397	2.816794	42.300003	-40.800003	30.450001
13021432.0	-469.238251	-704.101501	-603.515625	0.290076	1.908397	2.664122	41.25	-42.450001	29.85
13206843.0	-378.906219	-635.742188	-553.710938	1.78626	1.748092	1.801527	43.5	-42.900002	31.050001
13390264.0	-357.910126	-755.371033	-621.09375	3.870229	3.412214	-0.824427	43.200001	-41.700001	29.85
13573318.0	-421.874969	-710.449158	-663.085876	-0.931298	0.694656	0.312977	42.450001	-40.950001	29.85
13758180.0	-422.851532	-695.312439	-590.332031	0.412214	1.358779	0.59542	43.650002	-42.300003	29.700001
13941084.0	-479.492157	-749.999939	-639.160156	3.519084	0.083969	1.954198	41.550003	-42.0	30.450001
14124521.0	-353.515594	-635.742188	-550.78125	0.015267	4.877862	0.389313	42.450001	-42.450001	30.6
14309429.0	-363.769501	-753.906189	-603.027344	2.793893	-0.580153	-2.015267	41.850002	-41.550003	30.450001
14492490.0	-439.453094	-742.187439	-672.36322	-1.824427	1.427481	-0.167939	42.600002	-40.800003	29.700001
24460314.0	-395.996063	-672.36322	-547.851563	0.427481	-0.145038	1.641221	42.450001	-41.700001	29.550001
24645476.0	-421.874969	-735.839783	-658.691345	0.671756	1.801527	1.450382	42.600002	-41.550003	29.700001
24828644.0	-432.617157	-759.277283	-628.90625	0.114504	2.167939	-0.450382	43.350002	-42.0	30.450001
25012118.0	-477.050751	-769.531189	-711.42572	0.305344	2.229008	-0.229008	42.300003	-41.25	29.700001
25196934.0	-393.554657	-655.273376	-534.667969	1.091603	0.671756	0.427481	43.050003	-41.25	30.150002
25378808.0	-485.351532	-765.624939	-629.394531	1.618321	0.961832	2.900763	42.450001	-41.700001	31.35
25562066.0	-380.371063	-656.73822	-530.761719	-1.045802	1.305344	0.389313	41.700001	-41.400002	30.300001
25747464.0	-325.195282	-731.445251	-591.796875	2.610687	1.671756	0.022901	42.75	-40.650002	31.050001
25930594.0	-390.624969	-715.820251	-603.515625	0.19084	2.732824	0.259542	42.300003	-42.75	31.200001
26113690.0	-420.410126	-738.281189	-632.324219	-0.496183	1.21374	0.244275	41.550003	-41.550003	29.700001
27047572.0	-377.929657	-645.01947	-541.503906	-1.29771	-2.045802	1.221374	42.75	-41.400002	29.85
27230932.0	-420.898407	-753.906189	-683.593689	0.389313	1.137405	2.183206	43.050003	-42.300003	29.400002
27414200.0	-418.457001	-656.249939	-576.660156	0.496183	3.870229	2.694656	42.75	-41.700001	29.1
27599244.0	-433.105438	-681.640564	-658.203064	3.236641	-1.961832	3.274809	42.450001	-42.150002	30.300001
27782340.0	-388.183563	-632.8125	-495.605438	-0.450382	0.503817	1.19084	42.300003	-41.25	29.700001
27965756.0	-474.609344	-697.265564	-600.097656	2.061069	1.007634	-0.59542	41.700001	-42.150002	30.300001
28151396.0	-348.632782	-658.203064	-560.058594	-0.442748	2.541985	-1.748092	43.200001	-40.950001	30.6
28334544.0	-360.351532	-749.511658	-619.140625	2.328244	3.427481	-4.099236	42.600002	-42.300003	30.450001
28519494.0	-392.578094	-700.683533	-615.234375	-0.137405	1.89313	0.442748	43.050003	-43.050003	30.450001
28702936.0	-451.171844	-749.511658	-693.847595	2.458015	1.503817	-1.282443	42.75	-40.950001	31.35
29645570.0	-448.242157	-654.296814	-519.53125	0.580153	4.328244	-1.259542	42.300003	-42.300003	29.700001
29830782.0	-421.386688	-708.007751	-618.164063	1.938931	0.320611	1.022901	43.050003	-42.300003	27.900002
30014116.0	-409.179657	-714.355408	-617.1875	-0.549618	-0.435115	1.061069	42.75	-42.150002	30.6
30197516.0	-373.535126	-708.984314	-556.640625	-0.748092	6.160306	-3.160305	41.550003	-41.550003	30.450001
30382992.0	-464.843719	-808.593689	-773.437439	-0.694656	2.465649	-1.709924	43.950001	-42.150002	29.1
30566288.0	-472.656219	-694.824158	-549.316406	-0.21374	2.961832	-0.70229	43.950001	-40.950001	29.85
30749288.0	-369.628876	-642.578064	-515.136719	0.374046	2.862595	-0.351145	42.75	-41.400002	29.85
30934950.0	-402.343719	-751.953064	-621.09375	1.625954	2.70229	-2.473282	43.5	-41.700001	29.1
31118726.0	-370.117157	-698.730408	-604.003906	0.839695	3.725191	-2.763359	43.350002	-41.550003	31.500002
31302096.0	-423.828094	-754.882751	-664.55072	0.648855	3.549618	-1.175573	43.200001	-41.700001	28.800001
32248612.0	-481.445282	-738.281189	-609.863281	2.030534	-0.862595	3.503817	42.300003	-41.25	30.450001
32431756.0	-366.699188	-661.132751	-563.476563	1.664122	-1.175573	-1.389313	43.950001	-42.150002	29.550001
32615168.0	-370.605438	-780.273376	-652.83197	2.19084	0.480916	2.030534	44.100002	-40.800003	30.150002
32800128.0	-459.472626	-761.718689	-722.167908	2.198473	2.977099	1.305344	42.75	-42.150002	31.050001
32983248.0	-376.953094	-654.785095	-475.585907	0.053435	0.717557	1.21374	43.350002	-42.75	30.150002
33166266.0	-489.257782	-766.11322	-651.367126	1.229008	1.389313	-1.557252	42.0	-40.200001	29.85
33351344.0	-380.371063	-718.261658	-604.980469	2.007634	0.007634	-3.412214	42.75	-41.700001	29.85
33534580.0	-426.757782	-759.765564	-646.972595	-1.816794	4.068702	0.312977	42.450001	-41.700001	29.1
33717664.0	-450.683563	-744.140564	-734.374939	-0.244275	4.10687	2.732824	42.300003	-42.0	29.400002
33903052.0	-364.746063	-634.765625	-455.078094	0.366412	-2.48855	3.40458	42.0	-40.650002	29.550001
34841384.0	-450.195282	-717.285095	-586.914063	3.473282	-1.610687	4.335878	41.850002	-41.25	28.950001
35024736.0	-395.996063	-725.097595	-661.132751	2.022901	-0.969466	3.244275	42.450001	-40.950001	29.85
35209584.0	-445.800751	-812.011658	-645.01947	1.145038	-0.236641	0.160305	43.350002	-41.25	30.150002
35392696.0	-485.351532	-707.031189	-709.472595	2.083969	2.091603	0.977099	43.650002	-40.050003	29.400002
35575872.0	-364.257782	-616.210938	-457.519501	0.503817	-0.923664	-2.145038	43.200001	-40.950001	29.85
35761176.0	-489.257782	-718.261658	-601.5625	3.641221	-1.954198	-1.21374	41.550003	-40.800003	29.400002
35944320.0	-359.863251	-659.667908	-529.785156	1.40458	0.21374	1.137405	43.200001	-40.950001	29.550001
36127296.0	-363.769501	-769.042908	-637.207031	1.366412	1.832061	-4.725191	43.350002	-41.550003	29.700001
36312152.0	-439.453094	-708.984314	-626.464844	0.824427	1.091603	0.129771	42.600002	-42.300003	30.450001
36495596.0	-392.089813	-620.117188	-494.628876	-0.122137	2.412214	-1.465649	43.050003	-43.050003	29.700001
37444036.0	-406.738251	-662.597595	-516.113281	-0.473282	0.770992	-4.717557	43.200001	-42.900002	29.550001
37629696.0	-482.421844	-767.578064	-668.945251	1.442748	-2.29771	3.221374	43.200001	-42.150002	29.1
37812960.0	-378.906219	-736.328064	-552.246094	2.236641	1.114504	1.198473	43.050003	-42.0	30.750002
37996348.0	-398.925751	-789.062439	-619.140625	0.381679	3.984733	-1.450382	42.0	-43.350002	29.550001
38181304.0	-349.121063	-719.23822	-628.90625	-0.633588	1.977099	3.625954	43.050003	-42.300003	29.700001
38364544.0	-442.382782	-767.578064	-682.617126	0.717557	0.091603	3.19084	43.200001	-42.450001	30.300001
38547768.0	-439.941376	-690.429626	-587.890625	-2.801527	0.946565	1.251908	42.75	-42.150002	29.1
38733008.0	-395.996063	-658.203064	-580.078125	-0.458015	-0.282443	2.984733	42.450001	-41.400002	30.6
38916204.0	-482.421844	-733.886658	-611.816406	0.59542	-1.557252	3.755725	42.600002	-42.0	29.700001
39101272.0	-333.496063	-577.636719	-529.296875	0.977099	1.778626	4.145038	43.5	-41.400002	29.1
40048400.0	-375.488251	-728.515564	-648.92572	-1.618321	2.480916	1.59542	42.75	-42.450001	29.1
40257564.0	-398.437469	-643.554626	-526.367188	1.427481	1.740458	-0.725191	43.650002	-41.550003	30.450001
40438068.0	-407.714813	-839.843689	-655.761658	2.496183	1.022901	-2.557252	42.450001	-41.400002	29.550001
40619532.0	-468.749969	-805.664001	-791.015564	3.312977	0.709924	-3.458015	43.050003	-41.550003	28.950001
40803076.0	-403.320282	-657.714783	-509.277313	1.687023	3.152672	-3.175573	42.600002	-41.25	29.400002
40984244.0	-399.414032	-668.945251	-551.757813	0.48855	0.389313	0.763359	41.25	-41.400002	28.800001
41165860.0	-389.648407	-706.054626	-583.984375	1.412214	0.091603	-1.954198	42.0	-40.950001	29.85
41349228.0	-355.468719	-719.726501	-580.078125	-0.916031	1.992366	-3.587786	43.050003	-42.0	30.750002
41530780.0	-458.984344	-759.765564	-747.070251	0.763359	0.916031	0.954198	42.0	-41.400002	30.300001
41712360.0	-385.253876	-649.414001	-523.925781	0.732824	3.007634	-0.145038	42.600002	-41.550003	30.450001
42648808.0	-432.617157	-743.164001	-661.621033	-0.10687	2.10687	-0.320611	42.75	-41.400002	29.550001
42831992.0	-393.554657	-710.937439	-620.117188	2.870229	1.59542	-2.21374	41.850002	-41.550003	30.750002
43015052.0	-348.144501	-682.617126	-580.078125	0.435115	3.290076	-3.793893	43.950001	-41.700001	29.550001
43199660.0	-458.984344	-748.046814	-741.699158	0.656489	0.473282	-1.221374	42.75	-42.150002	30.6
43383052.0	-383.300751	-647.460876	-520.996094	2.778626	2.335878	-0.389313	42.75	-42.150002	29.1
43566248.0	-437.988251	-681.152283	-584.472656	0.992366	1.496183	3.984733	42.75	-41.400002	29.85
43751768.0	-356.445282	-656.73822	-515.136719	1.167939	-1.366412	0.70229	43.200001	-41.700001	29.85
43934936.0	-356.445282	-790.039001	-609.863281	2.0	0.427481	0.030534	41.700001	-41.700001	29.1
44118364.0	-416.503876	-716.796814	-664.55072	-0.343511	1.061069	-0.076336	42.300003	-41.25	29.700001
44303380.0	-415.527313	-749.999939	-673.339783	-0.152672	-0.114504	-1.137405	41.850002	-40.800003	29.400002
45244508.0	-453.613251	-725.097595	-627.441406	-0.656489	1.732824	1.89313	43.200001	-40.950001	29.1
45427508.0	-398.437469	-649.902283	-549.804688	-0.122137	-0.503817	4.38168	43.650002	-40.800003	30.150002
