Time [ms],ACC_X [mg],ACC_Y [mg],ACC_Z [mg],GYRO_X [dps],GYRO_Y [dps],GYRO_Z [dps],MAG_X [uT],MAG_Y [uT],MAG_Z [uT]
8950003.0,-420.898407,-687.98822,604.980469,-3.480916,3.549618,-0.450382,6.0,-47.850002,17.25
9120872.0,-348.144501,-520.996094,638.183594,-1.900763,5.465649,2.427481,4.65,-47.700001,16.950001
9294021.0,-292.480469,-630.859375,661.621033,0.763359,3.687023,1.496183,6.15,-47.700001,16.650002
9464381.0,-509.277313,-755.859314,561.035156,2.984733,0.412214,-0.198473,4.65,-47.25,16.950001
9636830.0,-431.152313,-787.597595,633.789063,-0.908397,3.10687,0.519084,4.8,-47.400002,17.25
9807626.0,-371.093719,-687.011658,622.070313,-3.832061,7.068702,1.633588,4.65,-47.25,16.650002
9978228.0,-352.050751,-600.585938,736.816345,-1.59542,1.977099,0.259542,5.1,-47.25,16.950001
10150514.0,-337.402313,-802.246033,716.308533,2.030534,0.145038,1.984733,4.8,-47.850002,17.550001
10321114.0,-517.089844,-890.136658,554.199219,-2.282443,5.694656,-0.671756,5.1,-47.700001,17.400002
10491837.0,-455.078094,-659.179626,499.999969,-4.038168,4.244275,-0.221374,5.4,-47.25,17.700001
10664252.0,-356.445282,-667.480408,653.320251,-1.847328,3.038168,-0.145038,5.4,-46.800003,17.700001
10834752.0,-381.347626,-633.300781,751.953064,-1.320611,5.29771,0.221374,5.4,-47.25,17.400002
11005209.0,-394.531219,-686.523376,584.960938,3.068702,-0.503817,-0.679389,6.0,-48.600002,17.25
11177634.0,-470.703094,-895.507751,548.828125,-3.946565,6.572519,1.625954,5.55,-47.400002,17.25
11348211.0,-435.546844,-633.789063,551.269531,-3.175573,3.793893,0.0,5.4,-48.0,16.950001
11518618.0,-338.378876,-713.378845,666.015564,-0.419847,2.740458,2.244275,4.35,-48.0,17.400002
11716345.0,-515.136719,-723.632751,555.664063,0.038168,-0.267176,2.068702,5.85,-47.25,16.950001
11884806.0,-427.734344,-611.816406,620.605469,-7.465649,4.641222,-0.045802,6.0,-47.400002,18.300001
12053905.0,-322.265594,-564.941406,687.011658,-2.038168,4.38168,0.625954,5.4,-48.0,17.700001
12224720.0,-425.781219,-680.17572,687.499939,-1.068702,2.503817,1.076336,4.5,-46.650002,17.25
12393867.0,-405.761688,-780.761658,645.507751,-0.854962,4.977099,-2.068702,5.4,-48.450001,17.700001
12562978.0,-449.707001,-793.45697,658.691345,-2.770992,4.419847,-0.206107,5.85,-48.450001,16.200001
12733972.0,-349.609344,-561.523438,695.80072,-2.045802,4.458015,0.312977,5.4,-47.700001,17.400002
12902932.0,-274.902344,-658.691345,739.257751,0.679389,-0.992366,-2.625954,5.4,-47.25,16.650002
13072083.0,-380.859344,-772.460876,647.949158,0.015267,2.557252,3.175573,5.1,-48.0,16.950001
13243205.0,-463.378876,-674.316345,581.542969,-2.19084,4.961832,0.160305,5.55,-48.300003,16.800001
13413757.0,-380.371063,-588.867188,611.816406,-5.389313,5.358778,-0.114504,4.5,-47.400002,16.800001
13584173.0,-253.417953,-584.472656,668.45697,-0.916031,3.961832,-0.435115,4.35,-48.0,16.650002
13756589.0,-413.085907,-670.898376,640.625,4.29771,0.977099,-2.480916,5.25,-47.400002,16.800001
13927280.0,-415.527313,-795.898376,626.953125,-1.206107,1.412214,-1.564885,5.4,-47.700001,16.950001
14097866.0,-420.898407,-673.828064,602.539063,-2.068702,2.984733,1.091603,5.4,-47.25,16.650002
14270997.0,-374.999969,-598.632813,638.183594,-3.061069,3.450382,2.145038,4.8,-48.600002,16.5
14441807.0,-256.347656,-591.308594,687.98822,-1.89313,2.580153,2.122137,5.85,-47.25,16.950001
14612852.0,-397.949188,-705.566345,658.691345,3.526718,1.038168,-1.099237,5.4,-48.0,16.950001
14785620.0,-393.554657,-696.289001,628.417969,-0.51145,1.274809,0.763359,6.45,-47.400002,16.5
14956336.0,-472.656219,-672.851501,566.40625,-0.862595,6.167939,0.160305,5.1,-48.450001,16.950001
15127116.0,-374.999969,-569.824219,632.8125,-5.557252,4.259542,-0.030534,6.15,-48.450001,17.400002
15299987.0,-324.218719,-575.683594,697.265564,-0.557252,2.419847,0.40458,5.1,-47.25,15.900001
15470945.0,-310.546875,-681.640564,725.097595,2.59542,-0.816794,-0.396947,4.65,-49.200001,16.650002
15641882.0,-369.140594,-709.960876,608.886719,-0.328244,2.351145,0.946565,5.4,-48.900002,16.950001
15818027.0,-419.921844,-794.433533,607.910156,-1.496183,0.732824,-0.129771,5.1,-48.900002,16.200001
15992645.0,-497.070282,-800.292908,580.078125,0.343511,5.183206,1.381679,6.9,-48.0,17.700001
16167054.0,-463.867157,-738.281189,528.320313,-4.694656,4.290076,-1.969466,5.25,-47.850002,17.550001
16345532.0,-444.824188,-708.496033,554.199219,0.259542,2.717557,0.29771,4.35,-47.25,15.900001
16521759.0,-455.078094,-665.039001,597.65625,-1.961832,3.129771,0.80916,4.8,-47.400002,17.550001
16698268.0,-444.824188,-814.453064,633.300781,-2.801527,3.381679,0.312977,5.4,-47.700001,16.650002
16876460.0,-445.800751,-642.089844,593.261719,-5.099236,4.244275,1.671756,4.5,-49.050003,17.25
17055232.0,-447.265594,-667.968689,531.25,-2.580153,2.358779,2.206107,4.5,-47.400002,18.0
17234456.0,-429.687469,-621.09375,601.074219,-2.725191,5.351145,0.381679,6.0,-48.600002,18.300001
27262192.0,-491.210907,-798.339783,555.664063,0.59542,1.862595,3.236641,4.8,-47.100002,18.0
27444804.0,-403.808563,-598.144531,612.792969,-0.259542,2.221374,1.977099,5.25,-48.300003,17.25
27627626.0,-387.207001,-614.746094,702.148376,-0.801527,0.480916,2.251908,4.8,-48.300003,16.800001
27812520.0,-382.812469,-574.707031,692.871033,-1.938931,2.984733,-0.29771,5.1,-48.0,16.650002
27995676.0,-487.304657,-685.058533,540.527344,-3.89313,3.679389,-1.946565,5.1,-48.450001,17.700001
28179084.0,-515.625,-688.476501,597.65625,-1.206107,3.51145,0.656489,5.25,-47.850002,16.800001
28364696.0,-409.179657,-678.710876,600.097656,0.374046,0.992366,-1.503817,5.1,-48.450001,17.400002
28547758.0,-273.925781,-672.36322,734.86322,0.564885,0.671756,1.068702,4.65,-46.800003,16.950001
28732726.0,-395.996063,-711.914001,621.09375,-1.70229,5.412214,1.312977,5.85,-48.450001,16.950001
28916100.0,-391.113251,-743.164001,664.55072,-3.419847,4.931298,2.877863,4.8,-46.650002,17.550001
29940702.0,-355.957001,-554.199219,694.824158,-2.351145,2.70229,3.458015,5.4,-48.450001,16.950001
30126026.0,-469.726532,-685.546814,520.507813,-5.152672,4.641222,1.526718,4.8,-47.400002,16.5
30309368.0,-461.425751,-747.070251,604.492188,-1.78626,2.946565,0.351145,5.85,-48.900002,16.950001
30492992.0,-419.921844,-715.820251,628.90625,-0.251908,0.969466,-1.557252,4.5,-47.400002,17.25
30678238.0,-252.441391,-665.039001,745.605408,-0.458015,3.618321,-0.320611,6.45,-47.850002,17.550001
30861696.0,-321.289032,-678.222595,649.902283,-1.038168,3.366412,-1.206107,5.25,-48.600002,17.25
31045072.0,-409.179657,-770.01947,681.640564,-3.198473,3.267176,1.389313,4.8,-47.850002,16.800001
31231022.0,-483.886688,-894.531189,542.480469,-1.480916,3.687023,1.610687,5.55,-48.600002,16.5
31414488.0,-392.578094,-694.335876,605.46875,1.175573,2.671756,0.129771,5.55,-48.300003,18.0
31597972.0,-332.031219,-610.351563,666.992126,-0.091603,2.236641,-0.053435,4.65,-47.25,17.700001
32639820.0,-410.156219,-615.722656,628.417969,-5.992366,5.633588,0.48855,4.8,-47.100002,16.050001
32822966.0,-409.179657,-770.01947,626.953125,-1.160305,3.450382,-0.641221,4.5,-47.100002,16.050001
33006290.0,-365.234344,-759.277283,632.324219,-0.473282,1.045802,-1.160305,4.5,-49.050003,16.050001
33191244.0,-312.988281,-750.48822,703.61322,0.519084,1.007634,1.137405,4.5,-47.850002,17.25
33374244.0,-398.437469,-577.148438,607.421875,-0.251908,3.045802,0.946565,4.8,-47.850002,15.750001
5469126.0,-186.035141,-706.054626,692.871033,1.320611,0.473282,0.503817,5.4,-49.650002,16.650002
5654506.0,-447.753876,-577.636719,611.328125,2.839695,2.274809,0.671756,5.55,-49.800003,14.55
5837724.0,-327.636688,-618.164063,555.175781,3.267176,1.664122,0.152672,5.85,-47.25,14.700001
6023837.0,-355.957001,-641.113281,631.347656,-3.503817,5.793893,0.549618,5.55,-47.100002,15.3
6207199.0,-449.218719,-576.660156,619.140625,0.625954,2.877863,-0.854962,5.85,-47.700001,15.900001
6390411.0,-166.503891,-651.855408,737.304626,-0.465649,3.40458,2.145038,7.2,-47.850002,16.050001
6575480.0,-434.570282,-563.964844,681.152283,0.961832,1.564885,-0.068702,5.85,-47.25,15.450001
6759015.0,-350.585907,-597.167969,548.339844,3.740458,3.015267,-0.755725,5.4,-47.700001,14.700001
6942352.0,-440.429657,-592.773438,641.601563,-2.938931,3.916031,1.610687,6.0,-49.050003,14.55
7127524.0,-392.578094,-499.999969,670.410095,0.412214,2.244275,1.954198,4.65,-48.450001,16.200001
7310806.0,-221.679672,-715.33197,693.359314,3.419847,-0.641221,-1.366412,5.85,-48.450001,15.900001
7494331.0,-468.749969,-625.488281,574.707031,1.877863,1.503817,1.862595,6.0,-46.650002,16.050001
7679399.0,-409.667938,-750.48822,525.390625,1.389313,1.40458,-0.175573,5.1,-48.0,15.450001
7862565.0,-320.3125,-620.117188,638.671875,-2.076336,4.267176,1.549618,5.4,-47.700001,14.400001
8045656.0,-402.343719,-573.242188,639.160156,3.946565,1.480916,0.587786,6.0,-48.300003,15.750001
8231463.0,-206.054672,-702.636658,697.265564,4.236641,-0.114504,-0.648855,6.15,-48.900002,16.200001
8414719.0,-438.476532,-568.847656,565.429688,1.358779,-0.21374,0.305344,5.85,-48.0,14.400001
8597866.0,-368.164032,-597.65625,528.320313,1.114504,0.244275,-2.114504,5.25,-47.400002,15.3
8782946.0,-340.332001,-582.519531,652.343689,-1.442748,6.175572,1.946565,5.55,-48.600002,16.050001
8966400.0,-428.222626,-590.332031,615.722656,1.206107,1.022901,0.328244,6.15,-47.700001,15.150001
9149634.0,-186.523422,-739.257751,694.335876,2.793893,1.824427,-0.641221,6.0,-48.600002,16.800001
9334575.0,-495.117157,-645.996033,556.152344,2.557252,0.854962,0.839695,6.15,-47.25,15.900001
9517707.0,-387.207001,-666.503845,505.859344,0.030534,1.389313,0.053435,5.55,-47.850002,15.750001
9701131.0,-428.710907,-653.320251,638.671875,-1.374046,3.221374,2.045802,5.85,-48.0,14.700001
9886211.0,-388.671844,-612.304688,729.980408,-2.251908,2.78626,1.381679,6.45,-48.300003,16.5
10068933.0,-227.050766,-556.640625,728.027283,-0.854962,4.534351,2.160305,6.0,-47.100002,15.750001
10251780.0,-362.792938,-713.867126,626.464844,-0.572519,1.305344,1.885496,5.55,-48.300003,16.050001
10464391.0,-291.015625,-598.632813,577.636719,-3.007634,3.320611,0.793893,5.1,-48.900002,15.150001
10645148.0,-421.386688,-591.796875,685.058533,0.664122,-0.687023,-0.366412,4.8,-47.400002,15.750001
10826818.0,-146.484375,-698.242126,708.496033,1.099237,-0.137405,1.587786,6.15,-49.200001,15.450001
11010308.0,-420.410126,-627.929688,622.070313,1.763359,2.045802,1.961832,6.0,-49.050003,15.750001
11192158.0,-390.136688,-704.589783,588.378906,0.618321,2.709924,-0.671756,6.15,-47.25,15.450001
